username,media_id,media_type,caption,like_count,comment_count,play_count,follower_count,engagement_rate,taken_at,permalink
luma_beauty,luma_beauty_001,reel,A dewy base routine with @creator_maya using Glow Tint and Dew Serum. #grwm #ugc #skincare,18200,185,210000,320000,0.057453125,2026-05-02T14:30:00Z,https://www.instagram.com/reel/sample-luma-beauty-001/
luma_beauty,luma_beauty_002,carousel,Five ways our community styles Soft Brow Gel. #makeup #community #browroutine,6400,73,,320000,0.020228125,2026-05-04T16:00:00Z,https://www.instagram.com/p/sample-luma-beauty-002/
aurora_skin,aurora_skin_001,reel,Peptide balm restock morning with @beautybylena. #lipcare #productdemo #creatorcollab,22100,315,350000,230000,0.09745652173913044,2026-05-03T11:15:00Z,https://www.instagram.com/reel/sample-aurora-skin-001/
aurora_skin,aurora_skin_002,image,Barrier cream texture close-up. #skincare #texture #productdemo,8700,96,,230000,0.038243478260869566,2026-05-06T18:00:00Z,https://www.instagram.com/p/sample-aurora-skin-002/
velvet_labs,velvet_labs_001,reel,Night mask before and after routine from @skinwithnora. #beforeafter #skincare #ugc,7700,92,98000,87000,0.0895632183908046,2026-05-02T09:00:00Z,https://www.instagram.com/reel/sample-velvet-labs-001/
velvet_labs,velvet_labs_002,carousel,Tinted balm shade guide. #lipcare #shadeguide #productdemo,5900,51,,87000,0.06840229885057471,2026-05-05T12:45:00Z,https://www.instagram.com/p/sample-velvet-labs-002/
mira_cosmetics,mira_cosmetics_001,reel,Cream blush test with @mua_jordan and @creator_maya. #makeup #creatorcollab #blush,41000,640,590000,760000,0.05478947368421053,2026-05-01T20:10:00Z,https://www.instagram.com/reel/sample-mira-cosmetics-001/
mira_cosmetics,mira_cosmetics_002,image,Community favorites this week. #makeup #community #ugc,12000,210,,760000,0.01606578947368421,2026-05-07T17:20:00Z,https://www.instagram.com/p/sample-mira-cosmetics-002/
nord_glow,nord_glow_001,reel,Glow primer under foundation with @skinwithnora. #grwm #glowyskin #productdemo,7200,64,87000,69000,0.10527536231884058,2026-05-03T13:20:00Z,https://www.instagram.com/reel/sample-nord-glow-001/
nord_glow,nord_glow_002,carousel,Three everyday complexion pairings. #makeup #routine #skincare,3800,41,,69000,0.05566666666666667,2026-05-06T10:10:00Z,https://www.instagram.com/p/sample-nord-glow-002/
